Number,Name,Description,PokemonNumbers
85,Grassy Surge,"Grassy Surge creates a low-lying grassy field, like the move Grassy Terrain, when the Pokémon enters battle. It restores the HP of grounded Pokémon each turn and increases the power of Grass type attacks.",0787
86,Grim Neigh,"Boosts Special Attack after knocking out a Pokémon.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.

Scarlet​/​Violet
When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.

Other languages




English
Grim Neigh


Japanese
くろのいななき


German
Dunkles Wiehern


French
Sombre Ruade


Italian
Nitrito Nero


Spanish
Relincho Negro


Korean
흑의울음


Chinese (Simplified)
漆黑嘶鸣


Chinese (Traditional)
漆黑嘶鳴",0897
87,Guard Dog,"Boosts Attack if intimidated, and prevents being forced to switch out.
Game descriptions

Scarlet​/​Violet
Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.

Other languages




English
Guard Dog


Japanese
ばんけん


German
Wachhund


French
Chien de Garde


Italian
Cane da Guardia


Spanish
Perro Guardián


Korean
파수견


Chinese (Simplified)
看门犬


Chinese (Traditional)
看門犬",0943
88,Gulp Missile,"Gulp Missile is the signature ability of Cramorant. If Cramorant uses the move Surf or Dive, it returns with a fish in its mouth. If Cramorant then takes damage, it retaliates by spitting out the fish, dealing extra damage.",0845
89,Guts,"Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack.","0019,0020,0066,0067,0068,0214,0217,0236,0246,0276,0277,0296,0297,0532,0533,0534,0538,0862,0901"
90,Hadron Engine,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.
Game descriptions

Scarlet​/​Violet
Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.

Other languages




English
Hadron Engine


Japanese
ハドロンエンジン


German
Hadronen-Motor


French
Moteur à Hadrons


Italian
Motore Adronico


Spanish
Motor Hadrónico


Korean
하드론엔진


Chinese (Simplified)
强子引擎


Chinese (Traditional)
強子引擎",1008
91,Harvest,"May create another Berry after one is used.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
May create another Berry after one is used.

X​/​YO.Ruby​/​A.Sapphire
May create another Berry after one is used.

Sun​/​MoonUltra Sun​/​Ultra Moon
May create another Berry after one is used.

Sword​/​ShieldB.Diamond​/​S.Pearl
May create another Berry after one is used.

Scarlet​/​Violet
May create another Berry after one is used.

Other languages




English
Harvest


Japanese
しゅうかく (Shūkaku)


German
Reiche Ernte


French
Récolte


Italian
Coglibacche


Spanish
Cosecha


Korean
수확


Chinese (Simplified)
收获


Chinese (Traditional)
收穫","0102,0103,0103,0357,0708,0709,0928,0929,0930"
92,Healer,"May heal an ally's status conditions.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
May heal an ally’s status conditions.

X​/​YO.Ruby​/​A.Sapphire
Sometimes heals an ally’s status condition.

Sun​/​MoonUltra Sun​/​Ultra Moon
Sometimes heals an ally’s status condition.

Sword​/​ShieldB.Diamond​/​S.Pearl
Sometimes heals an ally’s status condition.

Scarlet​/​Violet
Sometimes cures the status conditions of the Pokémon’s allies.

Other languages




English
Healer


Japanese
いやしのこころ (Iyashi no Kokoro)


German
Heilherz


French
Cœur Soin


Italian
Curacuore


Spanish
Alma Cura


Korean
치유의마음


Chinese (Simplified)
治愈之心


Chinese (Traditional)
治癒之心","0531,0531,0594,0682,0683,0856,0857,0858"
93,Heatproof,"Heatproof reduces the damage taken from Fire-type moves by 50%. It also halves the damage from a burn, from 1⁄8 to 1⁄16 of the Pokémon's maximum HP.","0436,0437,0837"
94,Heavy Metal,Heavy Metal doubles the Pokémon's weight in battle. Increasing weight affects these moves:,0884
95,Honey Gather,Honey Gather has no effect in battle.,"0415,0742,0743"
96,Hospitality,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.","1012,1013"
97,Huge Power,"Raises the Pokémon's Attack stat.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Raises ATTACK.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises the Pokémon’s Attack stat.

Black​/​WhiteBlack 2​/​White 2
Raises the Pokémon’s Attack stat.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Pokémon’s Attack stat.

Sun​/​MoonUltra Sun​/​Ultra Moon
Doubles the Pokémon’s Attack stat.

Sword​/​ShieldB.Diamond​/​S.Pearl
Doubles the Pokémon’s Attack stat.

Scarlet​/​Violet
Doubles the Pokémon’s Attack stat.

Other languages




English
Huge Power


Japanese
ちからもち (Chikara Mochi)


German
Kraftkoloss


French
Coloforce


Italian
Macroforza


Spanish
Potencia


Korean
천하장사


Chinese (Simplified)
大力士


Chinese (Traditional)
大力士","0183,0184,0298,0303"
98,Hunger Switch,"Hunger Switch causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode. Morpeko's form also changes the type of its signature move, Aura Wheel.","0877,0877"
99,Hustle,"Hustle increases the ability-bearer's Attack by 50%, however, it also reduces the Accuracy of all Physical moves by 20%.","0019,0020,0175,0176,0222,0223,0225,0468,0549,0554,0554,0632,0633,0634,0880,0931,0931,0931,0931"
100,Hydration,"A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.","0086,0087,0278,0489,0490,0535,0536,0594,0616,0617,0704,0705,0706"
101,Hyper Cutter,"Hyper Cutter prevents the bearer's Attack stat from being lowered by other Pokémon, through moves such as Growl or abilities such as Intimidate.","0098,0099,0127,0207,0303,0328,0341,0342,0472,0739,0740"
102,Ice Body,"A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.","0361,0362,0363,0364,0365,0582,0583,0584,0712,0713,0713,0883"
103,Ice Face,"Ice Face is the signature ability of Eiscue. It allows the Pokémon to take a physical attack without taking damage. After the attack, Eiscue changes to its No Ice Face form, however, it can be restored in hail.","0875,0875"
104,Ice Scales,"Halves damage from Special moves.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon is protected by ice scales, which halve the damage taken from special moves.

Scarlet​/​Violet
The Pokémon is protected by ice scales, which halve the damage taken from special moves.

Other languages




English
Ice Scales


Japanese
こおりのりんぷん


German
Eisflügelstaub


French
Écailles Glacées


Italian
Geloscaglie


Spanish
Escama de Hielo


Korean
얼음인분


Chinese (Simplified)
冰鳞粉


Chinese (Traditional)
冰鱗粉","0872,0873"
105,Illuminate,Illuminate has no effect in battle.,"0120,0121,0170,0171,0313,0505,0755,0756"
106,Illusion,"When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted.","0570,0570,0571,0571"
107,Immunity,"Prevents the Pokémon from getting poisoned.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents poisoning.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Prevents the Pokémon from getting poisoned.

Black​/​WhiteBlack 2​/​White 2
Prevents the Pokémon from getting poisoned.

X​/​YO.Ruby​/​A.Sapphire
Prevents the Pokémon from getting poisoned.

Sun​/​MoonUltra Sun​/​Ultra Moon
The immune system of the Pokémon prevents it from getting poisoned.

Sword​/​ShieldB.Diamond​/​S.Pearl
The immune system of the Pokémon prevents it from getting poisoned.

Scarlet​/​Violet
The Pokémon’s immune system prevents it from being poisoned.

Other languages




English
Immunity


Japanese
めんえき (Men'eki)


German
Immunität


French
Vaccin


Italian
Immunità


Spanish
Inmunidad


Korean
면역


Chinese (Simplified)
免疫


Chinese (Traditional)
免疫","0143,0335"
108,Imposter,"It transforms itself into the Pokémon it is facing.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
It transforms itself into the Pokémon it is facing.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon transforms itself into the Pokémon it’s facing.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon transforms itself into the Pokémon it’s facing.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon transforms itself into the Pokémon it’s facing.

Scarlet​/​Violet
The Pokémon transforms itself into the Pokémon it’s facing.

Other languages




English
Imposter


Japanese
かわりもの (Kawari Mono)


German
Doppelgänger


French
Imposteur


Italian
Sosia


Spanish
Impostor


Korean
괴짜


Chinese (Simplified)
变身者


Chinese (Traditional)
變身者",0132
109,Infiltrator,"Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.","0546,0547,0677,0678,0678,0714,0715,0885,0886,0887"
110,Innards Out,"When a Pokémon with Innards Out faints, it deals damage to the opponent equal to amount of damage it took on the final blow.",0771
111,Inner Focus,"Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.","0041,0042,0063,0064,0065,0083,0149,0169,0203,0215,0215,0361,0362,0447,0448,0475,0538,0539,0619,0620,0624,0625,0765,0876,0891,0979"
112,Insomnia,"Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.","0096,0097,0150,0163,0164,0167,0168,0198,0353,0354,0430,0917,0918,0951,0952"
113,Intimidate,Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle).,"0023,0024,0058,0058,0059,0059,0128,0128,0128,0128,0130,0209,0210,0234,0237,0262,0284,0303,0310,0373,0397,0398,0403,0404,0405,0507,0508,0551,0552,0553,0645,0899,0931,0931,0931,0931,0942,0943"
114,Intrepid Sword,"Boosts Attack in battle.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Pokémon’s Attack stat when the Pokémon enters a battle.

Scarlet​/​Violet
Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.

Other languages




English
Intrepid Sword


Japanese
ふとうのけん


German
Kühnes Schwert


French
Lame Indomptable


Italian
Spada Indomita


Spanish
Espada Indómita


Korean
불요의검


Chinese (Simplified)
不挠之剑


Chinese (Traditional)
不撓之劍","0888,0888"
115,Iron Barbs,"When a Pokémon with Iron Barbs is hit by a move that makes contact, the attacker receives damage equal to 1⁄8 of their maximum HP.","0597,0598,0777"
116,Iron Fist,Iron Fist increases the power of all punching moves by 20%.,
117,Justified,Justified raises the ability-bearer's Attack by one stage when hit by a damaging Dark-type move.,"0638,0639,0640,0647,0647"
118,Keen Eye,"Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.","0016,0017,0018,0021,0022,0083,0107,0161,0162,0163,0164,0215,0215,0227,0278,0279,0302,0396,0441,0504,0505,0580,0581,0627,0628,0628,0677,0678,0678,0731,0732,0733,0744,0745,0745,0821,0822,0962"
119,Klutz,"The Pokémon can't use any held items.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon can’t use any held items.

Black​/​WhiteBlack 2​/​White 2
The Pokémon can’t use any held items.

X​/​YO.Ruby​/​A.Sapphire
The Pokémon can’t use any held items.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon can’t use any held items.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon can’t use any held items.

Scarlet​/​Violet
The Pokémon can’t use any held items.

Other languages




English
Klutz


Japanese
ぶきよう (Bukiyō)


German
Tollpatsch


French
Maladresse


Italian
Impaccio


Spanish
Zoquete


Korean
서투름


Chinese (Simplified)
笨拙


Chinese (Traditional)
笨拙","0427,0428,0527,0528,0622,0623,0759,0760"
120,Leaf Guard,"Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.","0114,0187,0188,0189,0465,0470,0541,0753,0754,0761,0762,0763,0893"
121,Levitate,Levitate causes the Pokémon to be raised (like Flying-type Pokémon).,"0092,0093,0109,0110,0110,0200,0201,0329,0330,0337,0338,0343,0344,0355,0358,0380,0380,0381,0381,0429,0433,0436,0437,0455,0479,0479,0479,0479,0479,0479,0480,0481,0482,0487,0488,0602,0603,0604,0615,0635,0738"
122,Libero,Libero changes the Pokémon's type to that of its previously used attack.,"0813,0814,0815"
123,Light Metal,Light Metal halves the Pokémon's weight in battle. Decreasing weight affects these moves:,0884
124,Lightning Rod,"Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.","0104,0105,0105,0111,0112,0254,0309,0310,0464,0522,0523,0777,0871"
125,Limber,"The Pokémon is protected from paralysis.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Prevents paralysis.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
The Pokémon is protected from paralysis.

Black​/​WhiteBlack 2​/​White 2
The Pokémon is protected from paralysis.

X​/​YO.Ruby​/​A.Sapphire
Protects the Pokémon from paralysis.

Sun​/​MoonUltra Sun​/​Ultra Moon
Its limber body protects the Pokémon from paralysis.

Sword​/​ShieldB.Diamond​/​S.Pearl
Its limber body protects the Pokémon from paralysis.

Scarlet​/​Violet
The Pokémon’s limber body prevents it from being paralyzed.

Other languages




English
Limber


Japanese
じゅうなん (Jūnan)


German
Flexibilität


French
Échauffement


Italian
Scioltezza


Spanish
Flexibilidad


Korean
유연


Chinese (Simplified)
柔软


Chinese (Traditional)
柔軟","0053,0106,0132,0431,0509,0510,0618,0701,0747,0748,0852,0853"
126,Lingering Aroma,"Contact changes the attacker's Ability to Lingering Aroma.
Game descriptions

Scarlet​/​Violet
Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.

Other languages




English
Lingering Aroma


Japanese
とれないにおい


German
Duftschwade


French
Odeur Tenace


Italian
Odore Tenace


Spanish
Olor Persistente


Korean
가시지않는향기


Chinese (Simplified)
甩不掉的气味


Chinese (Traditional)
甩不掉的氣味",0916
127,Liquid Ooze,"Damages attackers using any draining move.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Draining causes injury.

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Inflicts damage on foes using any draining move.

Black​/​WhiteBlack 2​/​White 2
Damages attackers using any draining move.

X​/​YO.Ruby​/​A.Sapphire
Damages attackers using any draining move.

Sun​/​MoonUltra Sun​/​Ultra Moon
Oozed liquid has strong stench, which damages attackers using any draining move.

Sword​/​ShieldB.Diamond​/​S.Pearl
The oozed liquid has a strong stench, which damages attackers using any draining move.

Scarlet​/​Violet
The strong stench of the Pokémon’s oozed liquid damages attackers that use HP-draining moves.

Other languages




English
Liquid Ooze


Japanese
ヘドロえき (Hedoro Eki)


German
Kloakensoße


French
Suintement


Italian
Melma


Spanish
Lodo Líquido


Korean
해감액


Chinese (Simplified)
污泥浆


Chinese (Traditional)
污泥漿","0072,0073,0316,0317"
128,Liquid Voice,Liquid Voice causes all sound-based moves used by the Pokémon to become Water type. Water type Pokémon also gain STAB from those moves.,"0728,0729,0730"
129,Long Reach,"The Pokémon uses its moves without making contact with the target.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon uses its moves without making contact with the target.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon uses its moves without making contact with the target.

Scarlet​/​Violet
The Pokémon uses its moves without making contact with the target.

Other languages




English
Long Reach


Japanese
えんかく (Enkaku)


German
Langstrecke


French
Longue Portée


Italian
Distacco


Spanish
Remoto


Korean
원격


Chinese (Simplified)
远隔


Chinese (Traditional)
遠隔","0722,0723,0724"
130,Magic Bounce,"Reflects status- changing moves.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Reflects status-changing moves.

X​/​YO.Ruby​/​A.Sapphire
Reflects status moves.

Sun​/​MoonUltra Sun​/​Ultra Moon
Reflects status moves, instead of getting hit by them.

Sword​/​ShieldB.Diamond​/​S.Pearl
Reflects status moves instead of getting hit by them.

Scarlet​/​Violet
The Pokémon reflects status moves instead of getting hit by them.

Other languages




English
Magic Bounce


Japanese
マジックミラー (Magic Mirror)


German
Magiespiegel


French
Miroir Magik


Italian
Magispecchio


Spanish
Espejo Mágico


Korean
매직미러


Chinese (Simplified)
魔法镜


Chinese (Traditional)
魔法鏡","0302,0359,0719"
131,Magic Guard,"Magic Guard protects the Pokémon from indirect damage, including:","0035,0036,0173,0561,0577,0578,0579"
132,Magician,"The Pokémon steals the held item of a Pokémon it hits with a move.
Game descriptions

X​/​YO.Ruby​/​A.Sapphire
The Pokémon steals the held item of a Pokémon it hits with a move.

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon steals the held item of a Pokémon it hits with a move.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon steals the held item of a Pokémon it hits with a move.

Scarlet​/​Violet
The Pokémon steals the held item from any target it hits with a move.

Other languages




English
Magician


Japanese
マジシャン (Magician)


German
Zauberer


French
Magicien


Italian
Prestigiatore


Spanish
Prestidigitador


Korean
매지션


Chinese (Simplified)
魔术师


Chinese (Traditional)
魔術師","0720,0720"
133,Magma Armor,"Magma Armor prevents the Pokémon from becoming frozen, for example from moves like Blizzard.","0218,0219,0323"
134,Magnet Pull,Magnet Pull prevents Steel type Pokémon from switching out of battle or fleeing.,"0074,0075,0076,0081,0082,0299,0462,0476,0808"
135,Marvel Scale,"Marvel Scale raises the ability-bearer's Defense by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep).",0350
136,Mega Launcher,Mega Launcher increases the power of all aura and pulse moves by 50%. Heal Pulse boosts the HP restored by 50%.,
137,Merciless,"The Pokémon's attacks become critical hits if the target is poisoned.
Game descriptions

Sun​/​MoonUltra Sun​/​Ultra Moon
The Pokémon’s attacks become critical hits if the target is poisoned.

Sword​/​ShieldB.Diamond​/​S.Pearl
The Pokémon’s attacks become critical hits if the target is poisoned.

Scarlet​/​Violet
The Pokémon’s attacks become critical hits if the target is poisoned.

Other languages




English
Merciless


Japanese
ひとでなし (Hitodenashi)


German
Quälerei


French
Cruauté


Italian
Spietatezza


Spanish
Ensañamiento


Korean
무도한행동


Chinese (Simplified)
不仁不义


Chinese (Traditional)
不仁不義","0747,0748"
138,Mimicry,"Changes type depending on the terrain.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Changes the Pokémon’s type depending on the terrain.

Scarlet​/​Violet
Changes the Pokémon’s type depending on the terrain.

Other languages




English
Mimicry


Japanese
ぎたい


German
Mimese


French
Mimétisme


Italian
Mimetismo


Spanish
Mimetismo


Korean
의태


Chinese (Simplified)
拟态


Chinese (Traditional)
擬態",0618
139,Mind's Eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves.",0901
140,Minus,"Ups Sp. Atk if another Pokémon has Plus or Minus.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Powers up with PLUS.

Diamond​/​PearlPlatinum
Boosts Sp. Atk if another Pokémon has Plus.

HeartGold​/​SoulSilver
Ups Sp. Atk if another Pokémon has Plus.

Black​/​WhiteBlack 2​/​White 2
Ups Sp. Atk if another Pokémon has Plus or Minus.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Sp. Atk stat if another Pokémon has Plus or Minus.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Scarlet​/​Violet
Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.

Other languages




English
Minus


Japanese
マイナス (Mainasu)


German
Minus


French
Minus


Italian
Meno


Spanish
Menos


Korean
마이너스


Chinese (Simplified)
负电


Chinese (Traditional)
負電","0312,0599,0600,0601,0849"
141,Mirror Armor,"Reflects any stat-lowering effects.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
Bounces back only the stat-lowering effects that the Pokémon receives.

Scarlet​/​Violet
Bounces back only the stat-lowering effects that the Pokémon receives.

Other languages




English
Mirror Armor


Japanese
ミラーアーマー


German
Spiegelrüstung


French
Armure Miroir


Italian
Blindospecchio


Spanish
Coraza Reflejo


Korean
미러아머


Chinese (Simplified)
镜甲


Chinese (Traditional)
鏡甲",0823
142,Misty Surge,"Misty Surge creates a low-lying mist, like the move Misty Terrain, when the bearer enters battle. It protects all grounded Pokémon from status conditions and halves the power of Dragon type attacks.",0788
143,Mold Breaker,"Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves.","0127,0130,0181,0408,0409,0610,0611,0612,0674,0675,0957,0958,0959,0976,1017"
144,Moody,"Raises one stat and lowers another.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Raises one stat and lowers another.

X​/​YO.Ruby​/​A.Sapphire
Raises one stat and lowers another.

Sun​/​MoonUltra Sun​/​Ultra Moon
Raises one stat sharply and lowers another every turn.

Sword​/​ShieldB.Diamond​/​S.Pearl
Raises one stat sharply and lowers another every turn.

Scarlet​/​Violet
Every turn, one of the Pokémon’s stats will be boosted sharply but another stat will be lowered.

Other languages




English
Moody


Japanese
ムラっけ (Murakke)


German
Gefühlswippe


French
Lunatique


Italian
Altalena


Spanish
Veleta


Korean
변덕쟁이


Chinese (Simplified)
心情不定


Chinese (Traditional)
心情不定","0223,0224,0235,0361,0362,0399,0400,0952"
145,Motor Drive,"Raises Speed if hit by an Electric-type move.
Game descriptions

Diamond​/​PearlPlatinumHeartGold​/​SoulSilver
Raises Speed if hit by an Electric-type move.

Black​/​WhiteBlack 2​/​White 2
Raises Speed if hit by an Electric-type move.

X​/​YO.Ruby​/​A.Sapphire
Boosts the Speed stat when it’s hit by an Electric-type move.

Sun​/​MoonUltra Sun​/​Ultra Moon
Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.

Sword​/​ShieldB.Diamond​/​S.Pearl
Boosts its Speed stat if hit by an Electric-type move instead of taking damage.

Scarlet​/​Violet
The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.

Other languages




English
Motor Drive


Japanese
でんきエンジン (Denki Engine)


German
Starthilfe


French
Motorisé


Italian
Elettrorapid


Spanish
Electromotor


Korean
전기엔진


Chinese (Simplified)
电气引擎


Chinese (Traditional)
電氣引擎","0466,0522,0523"
146,Moxie,Moxie increases the user's Attack one stage upon fainting an opponent.,"0551,0552,0553,0559,0560"
147,Multiscale,"Reduces damage when HP is full.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Reduces damage when HP is full.

X​/​Y
Reduces damage the Pokémon takes when its HP is full.

O.Ruby​/​A.Sapphire
Reduces the damage taken by the Pokémon when its HP is full.

Sun​/​MoonUltra Sun​/​Ultra Moon
Reduces the amount of damage the Pokémon takes when its HP is full.

Sword​/​ShieldB.Diamond​/​S.Pearl
Reduces the amount of damage the Pokémon takes while its HP is full.

Scarlet​/​Violet
Reduces the amount of damage the Pokémon takes while its HP is full.

Other languages




English
Multiscale


Japanese
マルチスケイル (Multiscale)


German
Multischuppe


French
Multiécaille


Italian
Multisquame


Spanish
Compensación


Korean
멀티스케일


Chinese (Simplified)
多重鳞片


Chinese (Traditional)
多重鱗片","0149,0249"
148,Multitype,Multitype changes the ability-bearer's type if it is holding one of the Type Plate items. Moves of the corresponding type receive STAB.,
149,Mummy,"Contact with this Pokémon spreads this Ability.
Game descriptions

Black​/​WhiteBlack 2​/​White 2
Contact with this Pokémon spreads this Ability.

X​/​YO.Ruby​/​A.Sapphire
Contact with the Pokémon spreads this Ability.

Sun​/​MoonUltra Sun​/​Ultra Moon
Contact with the Pokémon changes the attacker’s Ability to Mummy.

Sword​/​ShieldB.Diamond​/​S.Pearl
Contact with the Pokémon changes the attacker’s Ability to Mummy.

Scarlet​/​Violet
Contact with the Pokémon changes the attacker’s Ability to Mummy.

Other languages




English
Mummy


Japanese
ミイラ (Mīra)


German
Mumie


French
Momie


Italian
Mummia


Spanish
Momia


Korean
미라


Chinese (Simplified)
木乃伊


Chinese (Traditional)
木乃伊","0562,0563"
150,Mycelium Might,"Status moves go last, but are not affected by the opponent's ability.
Game descriptions

Scarlet​/​Violet
The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.

Other languages




English
Mycelium Might


Japanese
きんしのちから


German
Myzelienkraft


French
Force Fongique


Italian
Micoforza


Spanish
Poder Fúngico


Korean
균사의힘


Chinese (Simplified)
菌丝之力


Chinese (Traditional)
菌絲之力","0948,0949"
151,Natural Cure,"All status problems heal when it switches out.
Game descriptions

Ruby​/​SapphireFireRed​/​LeafGreenEmerald
Heals upon switching out.

Diamond​/​PearlPlatinum
All status problems are healed upon switching out.

HeartGold​/​SoulSilver
All status problems heal when it switches out.

Black​/​WhiteBlack 2​/​White 2
All status problems heal when it switches out.

X​/​YO.Ruby​/​A.Sapphire
All status conditions heal when the Pokémon switches out.

Sun​/​MoonUltra Sun​/​Ultra Moon
All status conditions heal when the Pokémon switches out.

Sword​/​ShieldB.Diamond​/​S.Pearl
All status conditions heal when the Pokémon switches out.

Scarlet​/​Violet
The Pokémon’s status conditions are cured when it switches out.

Other languages




English
Natural Cure


Japanese
しぜんかいふく (Shizen Kaifuku)


German
Innere Kraft


French
Médic Nature


Italian
Alternacura


Spanish
Cura Natural


Korean
자연회복


Chinese (Simplified)
自然回复


Chinese (Traditional)
自然回復","0113,0120,0121,0222,0242,0251,0315,0333,0334,0406,0407,0440,0492,0708,0709,0921,0922,0923"
152,Neuroforce,"Powers up moves that are super effective.
Game descriptions

Ultra Sun​/​Ultra Moon
Powers up moves that are super effective.

Sword​/​ShieldB.Diamond​/​S.Pearl
Powers up moves that are super effective.

Scarlet​/​Violet
Powers up the Pokémon’s supereffective attacks even further.

Other languages




English
Neuroforce


Japanese
ブレインフォース (Brain Force)


German
Zerebralmacht


French
Cérébro-Force


Italian
Cerebroforza


Spanish
Fuerza Cerebral


Korean
브레인포스


Chinese (Simplified)
脑核之力


Chinese (Traditional)
腦核之力",0800
153,Neutralizing Gas,"Neutralizes abilities of all Pokémon in battle.
Game descriptions

Sword​/​ShieldB.Diamond​/​S.Pearl
If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered.

Scarlet​/​Violet
While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered.

Other languages




English
Neutralizing Gas


Japanese
かがくへんかガス


German
Reaktionsgas


French
Gaz Inhibiteur


Italian
Gas Reagente


Spanish
Gas Reactivo


Korean
화학변화가스


Chinese (Simplified)
化学变化气体


Chinese (Traditional)
化學變化氣體","0109,0110,0110"
154,No Guard,"No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.","0018,0066,0067,0068,0679,0680"
155,Normalize,"Normalize causes all moves used by the Pokémon to become Normal-type, and attacking moves increase in power by 20%.","0300,0301"
156,Oblivious,"Oblivious makes the Pokémon immune to gender-based moves and abilities, specifically Attract, Captivate and Cute Charm.","0079,0080,0108,0124,0199,0220,0221,0238,0314,0320,0321,0322,0339,0340,0349,0463,0473,0761,0762,0977"
157,Opportunist,"Copies stat boosts by the opponent.
Game descriptions

Scarlet​/​Violet
If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.

Other languages




English
Opportunist


Japanese
びんじょう


German
Profiteur


French
Opportuniste


Italian
Scrocco


Spanish
Oportunista


Korean
편승


Chinese (Simplified)
跟风


Chinese (Traditional)
跟風",0956
